content
"<START> well, you must *love* code to split that tiny screen in 3 <END>"
"<START> this wasn't (I code too, I guess I know what you mean by socially awkward) <END>"
<START> does it means your code modify states outside its scope? <END>
<START>  <END>
"<START> Splash... I mean, Toot! <END>"
"<START> well I dont read much but fortunately my gf works in a bookstore (France) in the languages area. May I ask you example of books you've already read/liked ? <END>"
"<START> Fear my splash! When I evolve I'm gonna toot! <END>"
<START> Dans le Nightly build de Firefox il y a un super outil de screenshot :) <END>
"<START> What's next ? A female metroid ? <END>"
<START> .busineso you were french the whole time <END>
<START> Welcome! <END>
"<START> I kind of feel lost with that nouveau / optimus / prime / bumblebee / nvidia thing. I just want to USE MY GPU. Like, it's IN my computer, why would I HAVE TO use Windows ? <END>"
"<START> I wish I would always produce elegant, clean, effective code. <END>"
"<START> well, my code I going to be as dirty as possible from now on. Wait... it already is. <END>"
"<START> ""mdr"" <END>"
<START> *taijutsus into DMs* <END>
"<START> Faire des sites web me semble pas une bonne idée, mais pour être concurrentiel.le sans renom / expérience officielle, le mieux c'est d'en faire plusieurs petites à prix cassés pour des locaux (ou des associations, ou petits commerces, etc.) pour moins de 1000€ <NL> Et si tu penses en faire à la chaîne, je te conseille Divi sur wordpress, c'est 300€ d'investissement (pour la licence payante, à vie) mais tu fais un site en 2h. C'est pas super FOSS / Libre / toussa toussa par contre. <END>"
<START> pas une mauvasie idée* lol <END>
"<START> La subtilité étant de trouver des projets, mais il y en a. Ils sont cachés. Démarche des commerces près de chez toi. Souvent ils ont déjà fait faire des devis pour des site sinternet, et dit non parce que c'était 15000€ <END>"
"<START> c'est toi qui cherche 😅 <NL> J'avoue, je fais pas ça forcément pour les streams (je regarderais à l'occasion, mais c'est pas mon truc globalement), mais je fais ça parce que : <NL> 1. J'aime bien aider les gens <NL> 2. J'aime bien les sites web (c'est en partie mon métier) <NL> 3. Dans ton cas on a 1. et 2. réunis 😘 <END>"
"<START> the attached image got me splashin' my ass off <END>"
<START> press Ctrl+C <END>
"<START> Quid des poils / cheveux ? Des minuscules bouts de corps en grand nombre qui sortent du bout de corps principal dans toutes les directions. ESSAYE DE DESSINER LE CONTOUR DE QUELQU'UN EN INCLUANT CHAQUE POIL UN PAR UN. <END>"
"<START> I'm working on a chair. At my desk. <END>"
"<START> try grav. Lightweight CMS, no database, markdown. <END>"
<START> ok <END>
"<START> Wow, I'm so happy it's already Friday. <END>"
<START> Joseph. <END>
<START> welcome <END>
"<START> Qui finissent par dire ""de toute façon, je connais mes valeurs..."" <END>"
"<START> Hello mastodon, I'm currently looking for fitness wearable I can trust in terms of data policy (I don't want my heart rate to be sold to evil companies)... Do anyone here know some good products ? <END>"
"<START> Moi oui, pour ce que ça vaut. *Malgré que je fait* pas trop de faut. <END>"
"<START> thanks, will have a look 😊 <END>"
"<START> seems really nice (thank you ) ! Have you personnaly tried one of the compatible devices ? Do you know if they fit for activities like running, or just aims to be everyday tools ? <END>"
"<START> Ce qui est dingue quand je te lis, c'est que je ne me retrouve pas du tout (j'ai conscience d'à quel point je suis privilégié de le vivre comme ça) dans ce que tu dis. Pourtant je sors de l'école aussi, j'ai un bac+5, je travaille dans l'informatique aussi, j'ai un métier qui me plaît aussi. Je fais des heures, mais j'ai assez d'argent pour manger, m'amuser et mettre de côté. Conclusion: Vais-je craquer dans un an ou deux ? Serais-je épargné? <END>"
"<START> J'ai bien compris. Ca n'est juste pas forcément une fatalité (terminons avec un beau message d'espoir). Peut-être que tu n'as juste pas encore le ""bon"" job par rapport à qui tu es (certes, le champ des possibles de notre société est limité).😀 <END>"
"<START> tiens, toi qui cherche des projets web... peut-être que le de est ouvert à de bonnes propositions : 🤣 <END>"
<START> But.. HOW? <END>
"<START> They're alive. They're listening to us. Fear them. <END>"
"<START> Dites, si j'ai une amie qui veut découvrir les femmes et qu'elle est à Lyon, je tape à la porte de quel bar? <END>"
"<START> follow the damn train, CJ <END>"
<START> ème <NL> Ire aux nems <END>
"<START> ""Celebrities: What do they know, do they know things ? Let's find out!"" <END>"
"<START> Awesome stuff, thanks :) <END>"
<START> ça fait toujours plaisir un peu de sang neuf sur masto! <END>
"<START> Pas plus qualitif qu'un nombre premier. ENCORE PLUS QUAND ON PEUT FAIRE DES JEUX DE MOTS (109/sang neuf) - clin d'oeil - <END>"
"<START> et si on rajoute un zéro ? 1009, c'est mieux non ? A l'envers ça fait 9001, ce qui est ""over 9000 !"" Faut que je retourne bosser moi. <END>"
"<START> n'enlevant rien au fait que la louchitude de ce projet est à l'exact opposé de sa prétendue transparence, je ne trouve pas le moment où ils disent qu'Iron est OS. Ils disent ""basé sur le projet open source"" ""dont on a salement modifié le code"". <NL> Mais c'est bien le seul truc qu'on peut avoir pour leur défense. Et encore. Ca joue pas en leur faveur. <END>"
"<START> Ah donc en fait non. Rien. La bonne vanne, quoi. <END>"
"<START> wait. A 1 mois près t'es dans la tranche 11-15 ans ET tu es souvent dans la voiture... Tu as une Tesla ou un chauffeur privé ? <END>"
<START> Un peu comme le web avec des pubs quoi. <END>
"<START> Ouais, enfin avant que tu évoques l'existance de ce bousin, je n'en avais jamais entendu parlé. HEUREUSEMENT. Ca finira par mourir tout seul dans son coin... <END>"
"<START> Il est temps d'enfiler notre masque de justicier du web et de pondre des beaux commentaires qui expliquent bien que non, une archive pas à jour sur rapidshare c'est pas vraiment de l'open source. 🎭 <END>"
"<START> Who wouldn't ? <END>"
<START> does that mean you wish ? <END>
<START> <NL> What is this ? A crossover episode ? <END>
"<START> Me: Maybe it's time to stop browsing mastodon and actually get some work done <NL> Me: *opens new tab* <NL> Me: *opens mastodon in this tab* <NL> ⚙⚙ <NL> ⚙ <NL> Me: Maybe it's time to go home <END>"
<START> ça va bien et toi? <END>
"<START> fuck off, Watson <END>"
<START> gotta find Becky <END>
<START> Welcome ! <END>
<START> Hey you! ! <END>
"<START> Acheter en viager, on est d'accord que c'est espérer que quelqu'un meure vite ? <END>"
"<START> Si tu voyais mon quartier, tu serais surpris.e <END>"
"<START> Comme j'ai une voiture, je m'y connais super bien en véhicules alors je vais devenir mécano. <END>"
"<START> et encore je t'ai pas fait le coup de ""j'ai un ordinateur"" <END>"
<START> ¯\_(ツ)_/¯ <END>
<START> What if you used bash commands instead ? <END>
<START> exactly. <END>
"<START> Wow, calm down, Satan ! <END>"
<START> un poisson. *Trempette* <END>
"<START> si c'est payant, c'est toi le client <END>"
"<START> hey, welcome toi! <END>"
<START> yes. <END>
<START> il y a Koel aussi qui te permet de streamer du son et que tu peux consommer directement via un navigateur <END>
<START> dabadee-dabadah <END>
<START>  <END>
"<START> J'aurais dit que c'était à cause de l'activité inhumaine. <END>"
"<START> ceux qui pensent que c'est la mort de Firefox ne l'ont pas essayé en version 57. <END>"
<START> brunch! <END>
"<START> évite les laptops msi avec du GPU Nvidia + optimus... Certains ne disposent pas d'un switxh biod mais d'un bouton hardware dont le support est uniquement sous windows. Bref j'en ai un comme ca, j'ai jamais pu utiliser mon GPU <END>"
<START> si un jour tu trouves une astuce... <END>
<START> à quand le concert ? <END>
"<START> Hey, are you a cross-platform application framework created in the 90's ? Because you're Qt. <END>"
"<START> Hey, are you an acronym for software design principles ? Because you're a SOLID 10. <END>"
"<START> Wow, are you shining like a programming language created by Microsoft ? 'cause when I look at you, I can't even C#. <END>"
"<START> Is your body Haskell ? 'Cause it looks goddam functional to me. <END>"
"<START> C'est donc ça que tu entends par ""pailleter mes prouts"" <END>"
<START> A la montagne! <END>
<START> 🦄 🦄 🦄 <END>
<START> De sacrés champi[gn]ons ! <END>
<START> Signal <3 <END>
<START>  <END>
<START> .bz chuuuuut <END>
"<START> ""Je fioume"" <END>"
"<START> C'est fasci-lent <END>"
<START> HTTP code: 418 <END>
"<START> En même temps quand est-ce que tu regardes ce genre de film ? ""Si-tu-rouilles"" -> Citrouille <END>"
<START> ok. <END>
"<START> J'ai vu traîner ça sur masto l'autre jour. Pas exactement ce que tu recherches, mais il semble qu'une modification au niveau software n'impacte pas la garantie d'un produit, sauf si le fabriquant *prouve* que ça a altéré la bebête. <NL> <END>"
<START> Does one action affect the other in any way ? <END>
"<START> I'll choose the one with the smallest human-human interaction need <END>"
<START> are you a bot? <END>
"<START> can't tell if it's because I'm too good at sarcasm or because you're a bot... Have you ever checked that ""I'm not a robot"" box? If yes, congrats, you're human. <END>"
<START> BENEBOOP CUCUMBEACH <END>
<START> hello :) <END>
"<START> Uh. You think you're gonna teach me somethin'? Do you know who you're talkin' to ? Do you know who I am ? 😋 <END>"
"<START> Est-ce que l'assurance prend en charge les frais pour te résusciter ? <END>"
<START>  <END>
"<START> Habituellement je ne suis qu'amour. Mais là, non. NON. POURQUOI? <END>"
<START>  <END>
<START> congrats! Definitely a successful toot! Welcome <END>
"<START> ""Should I start a new account for this MMORPG?"" <END>"
<START> Les serpents ont des pieds ? <END>
<START> lewd!! <END>
<START> Welcome ! <END>
"<START> ceux qui travaillent dans le porno oui, certainement. <END>"
"<START> je ne peux pas t'aider sur le fond, mais j'ai un ami qui a fait ça pour trouver les editeurd etc. <NL> Je sais pas si c'est pertinent, mais okazou: <NL> <END>"
"<START> c'est méchant. <END>"
<START> ça ressemble à un cookie clicker cette histoire. Mais tu aurais certainement parlé de cookie. <END>
<START> Is that good or bad news? <END>
"<START> At least you're (trying to) work <END>"
<START> Is it a job you can fake sometimes ? <END>
<START> Are you a wine tester or something ? <END>
"<START> Can't tell if I find this awesome or aweful <END>"
"<START> println(""Hello World!"") <END>"
